# tau rho ord score
5.000 80.000 0.850 283.5094652380982
5.000 84.000 0.850 284.7912243751374
5.000 88.000 0.850 286.15918053380494
5.000 92.000 0.850 287.606428594243
5.000 96.000 0.850 289.1257337977949
5.000 100.000 0.850 290.709873910888
5.000 104.000 0.850 292.3504419996491
5.000 108.000 0.850 294.0397729073557
5.000 112.000 0.850 296.12681167805056
5.000 116.000 0.850 298.29124292555707
5.000 120.000 0.850 300.4704679105265
5.000 124.000 0.850 302.65353301984857
5.000 128.000 0.850 304.83047774371084
5.000 132.000 0.850 306.9910988597317
5.000 136.000 0.850 309.12531699908817
5.000 140.000 0.850 311.22321705812715
5.000 144.000 0.850 313.27508711611523
5.000 148.000 0.850 315.2714558522093
5.000 152.000 0.850 317.20312847198767
5.000 156.000 0.850 319.0612211673434
5.000 160.000 0.850 320.83749747693884
5.000 164.000 0.850 322.52316361829673
5.000 168.000 0.850 324.11078616090776
5.000 172.000 0.850 325.59304187720994
5.000 176.000 0.850 326.9630701035043
5.000 180.000 0.850 328.21480248084254
5.000 184.000 0.850 329.3417518045528
5.000 188.000 0.850 330.3389233039606
5.000 192.000 0.850 331.201558126032
5.000 196.000 0.850 331.92547927871885
5.000 200.000 0.850 332.50741481706433
5.000 204.000 0.850 332.94377990577465
5.000 208.000 0.850 333.30553017876633
5.000 212.000 0.850 333.7135975676516
5.000 216.000 0.850 333.9596274443059
5.000 220.000 0.850 334.0424968086579
5.000 224.000 0.850 333.96088160254584
5.000 228.000 0.850 333.71515317569845
5.000 232.000 0.850 333.3061057807635
5.000 236.000 0.850 332.73528523343225
2.000 96.000 0.850 304.52520390492106
2.000 100.000 0.850 305.16055550062185
2.000 104.000 0.850 305.8196330217611
2.000 108.000 0.850 306.49935435159887
2.000 112.000 0.850 307.19641870756845
2.000 116.000 0.850 307.9074508377545
2.000 120.000 0.850 308.6291367346791
2.000 124.000 0.850 309.3577518289647
2.000 128.000 0.850 310.0899223981983
2.000 132.000 0.850 310.82213641472305
2.000 136.000 0.850 311.5508879095367
2.000 140.000 0.850 312.2726928616017
2.000 144.000 0.850 312.98410488136466
2.000 148.000 0.850 313.68173063718643
2.000 152.000 0.850 314.4377224006546
2.000 156.000 0.850 315.1926146217151
2.000 160.000 0.850 315.9142341145979
2.000 164.000 0.850 316.5988955567977
2.000 168.000 0.850 317.2434645768044
2.000 172.000 0.850 317.84486694497167
2.000 176.000 0.850 318.40023058997235
2.000 180.000 0.850 318.9070181383431
2.000 184.000 0.850 319.3625509692305
2.000 188.000 0.850 319.7647655467332
2.000 192.000 0.850 320.1117182779337
2.000 196.000 0.850 320.4017229953261
2.000 200.000 0.850 320.63347876427537
2.000 204.000 0.850 320.80558901032464
2.000 208.000 0.850 320.91731273141824
2.000 212.000 0.850 320.96806404616575
2.000 216.000 0.850 320.9575441806678
2.000 220.000 0.850 320.8858635995347
2.000 224.000 0.850 320.75305528249544
2.000 228.000 0.850 320.5642478695981
2.000 232.000 0.850 320.42259900746905
2.000 236.000 0.850 320.2310663271327
2.000 240.000 0.850 319.99050976800754
2.000 244.000 0.850 319.7020277994395
2.000 248.000 0.850 319.3669534989936
2.000 252.000 0.850 318.9868494658342
2.000 256.000 0.850 318.56350156657936
2.000 260.000 0.850 318.09903119024466
2.000 264.000 0.850 317.59539873331727
2.000 268.000 0.850 317.0551391361744
2.000 272.000 0.850 316.48084578513334
2.000 276.000 0.850 315.87528695278377
2.000 280.000 0.850 315.2413109877066
2.000 284.000 0.850 314.5821514495769
2.000 288.000 0.850 313.90094708493535
2.000 292.000 0.850 313.2010271767304
2.000 296.000 0.850 312.4858222056669
2.000 300.000 0.850 311.7587648369887
2.000 304.000 0.850 311.02359123287397
2.000 308.000 0.850 310.28385762334443
2.000 312.000 0.850 309.54322270399547
2.000 316.000 0.850 308.8053558308257
2.000 320.000 0.850 308.07383605458574
2.000 324.000 0.850 307.3524520196814
2.000 328.000 0.850 306.6447176810562
2.000 332.000 0.850 305.9541544231597
2.000 336.000 0.850 305.28419956207915
2.000 340.000 0.850 304.63818817758624
2.000 344.000 0.850 304.0193354790197
2.000 348.000 0.850 303.43071981789546
2.000 352.000 0.850 302.8752664557703
2.000 356.000 0.850 302.35573219047444
2.000 360.000 0.850 301.8746909374649
3.000 0.000 0.850 296.0165785752905
3.000 4.000 0.850 295.3557059732348
3.000 8.000 0.850 294.7598345421154
3.000 12.000 0.850 294.23190068342285
3.000 16.000 0.850 293.774486966133
3.000 20.000 0.850 293.38993288487546
3.000 24.000 0.850 293.07984310379373
3.000 28.000 0.850 292.84578080862434
3.000 32.000 0.850 292.688807855122
3.000 36.000 0.850 292.6095910485718
3.000 40.000 0.850 292.60840080123467
3.000 44.000 0.850 292.6851120631887
3.000 48.000 0.850 292.8392074782704
3.000 52.000 0.850 293.06978270017635
3.000 56.000 0.850 293.37555378841256
3.000 60.000 0.850 293.7549901362183
3.000 64.000 0.850 294.2058445282362
3.000 68.000 0.850 294.7258677865869
3.000 72.000 0.850 295.3123695405163
3.000 76.000 0.850 295.9623443140282
3.000 80.000 0.850 296.6726694654656
3.000 84.000 0.850 297.4393884303848
3.000 88.000 0.850 298.2588537303775
3.000 92.000 0.850 299.1269863182758
3.000 96.000 0.850 300.0394904800478
3.000 100.000 0.850 300.9920564681213
3.000 104.000 0.850 301.9796477394784
3.000 108.000 0.850 302.9976472765126
3.000 112.000 0.850 304.04111958288894
3.000 116.000 0.850 305.10502760213996
3.000 120.000 0.850 306.18443676587475
3.000 124.000 0.850 307.2738030807937
3.000 128.000 0.850 308.4805757482163
3.000 132.000 0.850 309.7885609243215
3.000 136.000 0.850 311.0812421857871
3.000 140.000 0.850 312.3524958207422
5.000 240.000 0.850 332.0049900808181
5.000 244.000 0.850 331.11826979142785
5.000 248.000 0.850 330.0789197928229
5.000 252.000 0.850 328.8914731885797
5.000 256.000 0.850 327.56118899623635
5.000 260.000 0.850 326.0943400965654
