# tau rho ord score
5.000 40.000 0.900 337.59728019742664
5.000 44.000 0.900 337.56984395852925
5.000 48.000 0.900 337.5523242475634
5.000 52.000 0.900 337.54483471346623
5.000 56.000 0.900 337.54743231483377
5.000 60.000 0.900 337.56043782110186
5.000 64.000 0.900 337.583126552937
5.000 68.000 0.900 337.6157270105205
5.000 72.000 0.900 337.65806717787507
5.000 76.000 0.900 337.70991940535663
5.000 80.000 0.900 337.7713231119292
5.000 84.000 0.900 338.10631181085733
5.000 88.000 0.900 338.5649888303226
5.000 92.000 0.900 339.04712293578154
5.000 96.000 0.900 339.55024741706063
5.000 100.000 0.900 340.07211730105143
5.000 104.000 0.900 340.60941506953554
5.000 108.000 0.900 341.2952930146648
5.000 112.000 0.900 342.183667905565
5.000 116.000 0.900 343.0734877034685
5.000 120.000 0.900 343.9608613346638
5.000 124.000 0.900 344.840937756164
5.000 128.000 0.900 346.27748224708427
5.000 132.000 0.900 348.1908006679849
5.000 136.000 0.900 350.0936114111048
5.000 140.000 0.900 351.97708206205317
5.000 144.000 0.900 353.83249945213197
5.000 148.000 0.900 355.6513031028451
5.000 152.000 0.900 357.42511761469916
5.000 156.000 0.900 359.1457840238192
5.000 160.000 0.900 360.8057113345783
5.000 164.000 0.900 362.39659688572374
5.000 168.000 0.900 364.0117147586082
5.000 172.000 0.900 365.5811619876342
5.000 176.000 0.900 367.0317801095928
5.000 180.000 0.900 368.357143803245
5.000 184.000 0.900 369.5503842636441
5.000 188.000 0.900 370.60621291007607
5.000 192.000 0.900 371.5195909569751
5.000 196.000 0.900 372.2860957068789
5.000 200.000 0.900 372.9022627474799
5.000 204.000 0.900 373.3642963708201
5.000 208.000 0.900 373.67008574334255
5.000 212.000 0.900 373.84387294547264
5.000 216.000 0.900 374.020335697736
5.000 220.000 0.900 374.06481498800196
5.000 224.000 0.900 373.97604481405864
5.000 228.000 0.900 373.75437965342314
5.000 232.000 0.900 373.40044827050747
5.000 236.000 0.900 372.91550322153455
5.000 240.000 0.900 372.301423933292
5.000 244.000 0.900 371.56071694968966
5.000 248.000 0.900 370.69651316191835
5.000 252.000 0.900 369.7125618519394
5.000 256.000 0.900 368.61322139739
5.000 260.000 0.900 367.4037676857045
5.000 264.000 0.900 366.0890687573281
5.000 268.000 0.900 364.67556324859333
5.000 272.000 0.900 363.2759185707941
5.000 276.000 0.900 362.04144209685796
5.000 280.000 0.900 360.7320721582965
5.000 284.000 0.900 359.3533029300984
5.000 288.000 0.900 357.91202852964733
5.000 292.000 0.900 356.5211961868124
5.000 296.000 0.900 355.3322132542845
5.000 300.000 0.900 354.10493493594237
5.000 304.000 0.900 352.8445868809721
5.000 308.000 0.900 351.5576080334488
5.000 312.000 0.900 350.2502674629117
5.000 316.000 0.900 348.9289776254026
5.000 320.000 0.900 347.6000420597078
5.000 324.000 0.900 346.2704794668166
5.000 328.000 0.900 344.94673901838866
5.000 332.000 0.900 343.6961808273558
5.000 336.000 0.900 342.7698681679113
5.000 340.000 0.900 342.1923912122245
5.000 344.000 0.900 341.61732733429176
5.000 348.000 0.900 341.04751299631727
5.000 352.000 0.900 340.48577715722286
5.000 356.000 0.900 339.93492645966637
5.000 360.000 0.900 339.3977301941258
6.000 0.000 0.900 333.0099843048741
6.000 4.000 0.900 332.38451653348625
6.000 8.000 0.900 331.78165666564064
6.000 12.000 0.900 331.6110919023605
6.000 16.000 0.900 331.50325913393846
6.000 20.000 0.900 331.4050113614113
6.000 24.000 0.900 331.3161137778599
6.000 28.000 0.900 331.2374985498004
6.000 32.000 0.900 331.16963001201134
6.000 36.000 0.900 331.1129146739026
6.000 40.000 0.900 331.0676977624019
6.000 44.000 0.900 331.0342601986015
6.000 48.000 0.900 331.0128160490097
6.000 52.000 0.900 331.0035104867913
6.000 56.000 0.900 331.0064182923121
6.000 60.000 0.900 331.0219297717024
6.000 64.000 0.900 331.04917389216297
6.000 68.000 0.900 331.08842494113827
6.000 72.000 0.900 331.139472718083
6.000 76.000 0.900 331.202037779576
6.000 80.000 0.900 331.27616025522013
6.000 84.000 0.900 331.36062584779563
6.000 88.000 0.900 331.9040859754627
6.000 92.000 0.900 332.4833003329078
6.000 96.000 0.900 333.08760021557435
6.000 100.000 0.900 333.7142629878297
6.000 104.000 0.900 334.7217620720776
6.000 108.000 0.900 335.7772034569259
6.000 112.000 0.900 336.8391185566772
6.000 116.000 0.900 337.9024863741969
6.000 120.000 0.900 338.9626898323701
6.000 124.000 0.900 340.56885768389856
6.000 128.000 0.900 342.39922912961185
6.000 132.000 0.900 344.63211084735207
6.000 136.000 0.900 346.9031466901148
6.000 140.000 0.900 349.15061286548894
6.000 144.000 0.900 351.40053466416316
6.000 148.000 0.900 353.9221345653473
6.000 152.000 0.900 356.36178961954175
6.000 156.000 0.900 358.7084167756041
6.000 160.000 0.900 360.95175103966324
6.000 164.000 0.900 363.08080567598597
6.000 168.000 0.900 365.08631378991436
6.000 172.000 0.900 366.9591314108985
6.000 176.000 0.900 368.6906837006649
6.000 180.000 0.900 370.2733828975674
6.000 184.000 0.900 371.69908168832217
6.000 188.000 0.900 372.9615083349209
6.000 192.000 0.900 374.05466356262724
6.000 196.000 0.900 374.97326070084733
6.000 200.000 0.900 375.7131375373953
6.000 204.000 0.900 376.269703413768
6.000 208.000 0.900 376.64036771715854
6.000 212.000 0.900 376.822929599325
6.000 216.000 0.900 376.8160102395303
6.000 220.000 0.900 376.61945594361094
6.000 224.000 0.900 376.2327754493097
6.000 228.000 0.900 375.65755745175227
6.000 232.000 0.900 374.8958480573495
6.000 236.000 0.900 374.2052247081615
6.000 240.000 0.900 373.4779923537507
6.000 244.000 0.900 372.5990235635689
