# tau rho ord score
20.400 43.000 0.820 59.29549767748132
20.400 43.000 0.840 61.316724985127216
20.400 43.000 0.860 68.23108034289474
20.400 43.000 0.880 82.35704880552998
20.400 43.000 0.900 100.91634697904968
20.400 43.000 0.920 122.54391057090649
20.400 43.000 0.940 144.7224955833175
20.400 43.000 0.960 166.9010805957285
20.400 43.000 0.980 189.07966560813955
20.400 43.000 1.000 211.25825062055057
20.400 44.000 0.800 62.9320049427143
20.400 44.000 0.820 58.57299578341113
20.400 44.000 0.840 60.367975347205125
20.400 44.000 0.860 67.60694607958274
20.400 44.000 0.880 82.16898190493347
20.400 44.000 0.900 100.61370876640927
20.400 44.000 0.920 122.51402342662217
20.400 44.000 0.940 144.69195871850525
20.400 44.000 0.960 166.86989401038832
20.400 44.000 0.980 189.04782930227148
20.400 44.000 1.000 211.22576459415455
20.400 45.000 0.800 62.571430456512104
20.400 45.000 0.820 57.94415898065326
20.400 45.000 0.840 59.73087519510779
20.400 45.000 0.860 67.07816231260321
20.400 45.000 0.880 81.98969237359445
20.400 45.000 0.900 100.66756513793075
20.400 45.000 0.920 122.48691159390722
20.400 45.000 0.940 144.6642574981226
20.400 45.000 0.960 166.84160340233794
20.400 45.000 0.980 189.01894930655334
20.400 45.000 1.000 211.19629521076874
20.400 46.000 0.800 62.24962358879648
20.400 46.000 0.820 57.4267891785164
20.400 46.000 0.840 59.13595183088392
20.400 46.000 0.860 66.67862016262423
20.400 46.000 0.880 81.81921911220894
20.400 46.000 0.900 100.88317392115785
20.400 46.000 0.920 122.46259129721378
20.400 46.000 0.940 144.63940849932715
20.400 46.000 0.960 166.81622570144052
20.400 46.000 0.980 188.9930429035539
20.400 46.000 1.000 211.16986010566728
20.400 47.000 0.800 61.9667033547286
20.400 47.000 0.820 57.29292185531382
20.400 47.000 0.840 58.72181065725907
20.400 47.000 0.860 66.53412454107223
20.400 47.000 0.880 81.65759927584692
20.400 47.000 0.900 101.10488152229709
20.400 47.000 0.920 122.44107743472334
20.400 47.000 0.940 144.61742694417384
20.400 47.000 0.960 166.7937764536244
20.400 47.000 0.980 188.9701259630749
20.400 47.000 1.000 211.14647547252545
20.400 48.000 0.800 61.72277776992272
20.400 48.000 0.820 57.69459413131264
20.400 48.000 0.840 58.96764309936162
20.400 48.000 0.860 66.41703213060157
20.400 48.000 0.880 81.5048682806297
20.400 48.000 0.900 101.33259022676174
20.400 48.000 0.920 122.42238356468258
20.400 48.000 0.940 144.598326685654
20.400 48.000 0.960 166.7742698066254
20.400 48.000 0.980 188.9502129275968
20.400 48.000 1.000 211.12615604856816
20.400 49.000 0.800 61.54514085822417
20.400 49.000 0.820 58.425800518333936
20.400 49.000 0.840 59.46577543571982
20.400 49.000 0.860 66.39759308364694
20.400 49.000 0.880 81.36105980977197
20.400 49.000 0.900 101.56620112200214
20.400 49.000 0.920 122.40652189274077
20.400 49.000 0.940 144.58212019475687
20.400 49.000 0.960 166.757718496773
20.400 49.000 0.980 188.93331679878912
